iter	Passed	Remaining
0	1	160
1	2	133
2	3	121
3	4	110
4	5	107
5	6	105
6	7	103
7	8	102
8	10	101
9	11	100
10	12	99
11	13	98
12	14	96
13	15	95
14	16	94
15	17	92
16	18	92
17	19	90
18	20	88
19	21	86
20	23	89
21	25	88
22	26	87
23	27	85
24	28	84
25	29	84
26	30	82
27	31	80
28	32	79
29	33	77
30	34	76
31	35	75
32	36	73
33	37	72
34	38	71
35	39	70
36	40	69
37	41	68
38	42	67
39	43	65
40	44	64
41	45	62
42	46	61
43	46	59
44	47	58
45	48	57
46	49	56
47	50	55
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	46
55	58	45
56	59	44
57	59	43
58	60	42
59	61	41
60	62	40
61	63	39
62	64	37
63	65	36
64	66	35
65	68	35
66	69	34
67	70	32
68	71	31
69	72	30
70	73	29
71	73	28
72	75	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	90	12
88	91	11
89	93	10
90	95	9
91	97	8
92	99	7
93	101	6
94	103	5
95	104	4
96	106	3
97	108	2
98	109	1
99	111	0
